year,month,day_of_month,day_of_year,year_dec,frac_of_year,CO2
1991,6,2,152.496999999979,1991.4178,0.417799999999943,358.38
1991,6,9,159.504999999963,1991.437,0.436999999999898,358.55
1991,6,16,166.513000000029,1991.4562,0.456200000000081,358.17
1991,6,23,173.484500000022,1991.4753,0.475300000000061,357.9
1991,6,30,180.492500000006,1991.4945,0.494500000000016,357.32
1991,7,7,187.50049999999,1991.5137,0.513699999999972,356.77
1991,7,14,194.508499999973,1991.5329,0.532899999999927,356.23
1991,7,21,201.51650000004,1991.5521,0.55210000000011,355.26
1991,7,28,208.488000000033,1991.5712,0.57120000000009,355.55
1991,8,4,215.496000000016,1991.5904,0.590400000000045,354.59
1991,8,11,222.504,1991.6096,0.6096,354.4
1991,8,18,229.511999999984,1991.6288,0.628799999999956,353.22
1991,8,25,236.483499999977,1991.6479,0.647899999999936,353.1
1991,9,1,243.49149999996,1991.6671,0.667099999999891,353.13
1991,9,8,250.499500000027,1991.6863,0.686300000000074,352.6
1991,9,15,257.507500000011,1991.7055,0.705500000000029,351.95
1991,9,22,264.515499999994,1991.7247,0.724699999999984,351.96
1991,9,29,271.486999999987,1991.7438,0.743799999999965,351.73
1991,10,6,278.494999999971,1991.763,0.76299999999992,352.14
1991,10,13,285.503000000037,1991.7822,0.782200000000103,352.6
1991,10,20,292.511000000021,1991.8014,0.801400000000058,352.77
1991,10,27,299.482500000014,1991.8205,0.820500000000038,353.02
1991,11,3,306.490499999998,1991.8397,0.839699999999993,353.84
1991,11,10,313.498499999981,1991.8589,0.858899999999949,353.8
1991,11,17,320.506499999965,1991.8781,0.878099999999904,353.92
1991,11,24,327.514500000032,1991.8973,0.897300000000087,354.19
1991,12,1,334.486000000024,1991.9164,0.916400000000067,354.66
1991,12,8,341.494000000008,1991.9356,0.935600000000022,354.99
1991,12,15,348.501999999992,1991.9548,0.954799999999977,355.23
1991,12,22,355.509999999975,1991.974,0.973999999999933,355.59
1991,12,29,362.517999999959,1991.9932,0.993199999999888,356.55
1992,1,5,4.48950000003492,1992.0123,0.0123000000000957,356.2
1992,1,12,11.4610000000278,1992.0314,0.031400000000076,356.34
1992,1,19,18.4325000000206,1992.0505,0.0505000000000564,356.39
1992,1,26,25.4405000000042,1992.0697,0.0697000000000116,356.18
1992,2,2,32.4119999999971,1992.0888,0.088799999999992,356.98
1992,2,9,39.3834999999899,1992.1079,0.107899999999972,357.23
1992,2,16,46.3549999999827,1992.127,0.126999999999953,357.39
1992,2,23,53.3629999999664,1992.1462,0.146199999999908,357.36
1992,3,1,60.3344999999592,1992.1653,0.165299999999888,356.72
1992,3,8,67.3060000000351,1992.1844,0.184400000000096,357.98
1992,3,15,74.3140000000187,1992.2036,0.203600000000051,358.41
1992,3,22,81.2855000000116,1992.2227,0.222700000000032,358.88
1992,3,29,88.2570000000044,1992.2418,0.241800000000012,358.08
1992,4,5,95.2284999999972,1992.2609,0.260899999999992,359.27
1992,4,12,102.236499999981,1992.2801,0.280099999999948,359.27
1992,4,19,109.207999999974,1992.2992,0.299199999999928,359.77
1992,4,26,116.179499999967,1992.3183,0.318299999999908,359.39
1992,5,3,123.150999999959,1992.3374,0.337399999999889,359.81
1992,5,10,130.159000000026,1992.3566,0.356600000000071,359.06
1992,5,17,137.130500000019,1992.3757,0.375700000000052,359.26
1992,5,24,144.102000000012,1992.3948,0.394800000000032,360.52
1992,5,31,151.073500000005,1992.4139,0.413900000000012,360.57
1992,6,7,158.081499999988,1992.4331,0.433099999999968,359.87
1992,6,14,165.052999999981,1992.4522,0.452199999999948,358.98
1992,6,21,172.024499999974,1992.4713,0.471299999999928,358.75
1992,6,28,178.995999999967,1992.4904,0.490399999999909,358.87
1992,7,5,186.004000000033,1992.5096,0.509600000000091,357.78
1992,7,12,192.975500000026,1992.5287,0.528700000000072,357.03
1992,7,19,199.947000000019,1992.5478,0.547800000000052,356.62
1992,7,26,206.918500000012,1992.5669,0.566900000000032,355.71
1992,8,2,213.926499999995,1992.5861,0.586099999999988,355.23
1992,8,9,220.897999999988,1992.6052,0.605199999999968,355.73
1992,8,16,227.869499999981,1992.6243,0.624299999999948,355.44
1992,8,23,234.840999999974,1992.6434,0.643399999999929,354.44
1992,8,30,241.849000000041,1992.6626,0.662600000000111,353
1992,9,6,248.820500000033,1992.6817,0.681700000000092,354.18
1992,9,13,255.792000000026,1992.7008,0.700800000000072,352.96
1992,9,20,262.763500000019,1992.7199,0.719900000000052,352.49
1992,9,27,269.771500000003,1992.7391,0.739100000000008,352.94
1992,10,4,276.742999999996,1992.7582,0.758199999999988,353.32
1992,10,11,283.714499999988,1992.7773,0.777299999999968,353.67
1992,10,18,290.685999999981,1992.7964,0.796399999999949,353.28
1992,10,25,297.693999999965,1992.8156,0.815599999999904,353.26
1992,11,1,304.665500000041,1992.8347,0.834700000000112,354.35
1992,11,8,311.637000000034,1992.8538,0.853800000000092,354.04
1992,11,15,318.645000000017,1992.873,0.873000000000047,354.25
1992,11,22,325.61650000001,1992.8921,0.892100000000028,354.82
1992,11,29,332.588000000003,1992.9112,0.911200000000008,354.94
1992,12,6,339.559499999996,1992.9303,0.930299999999988,355.39
1992,12,13,346.567499999979,1992.9495,0.949499999999944,355.55
1992,12,20,353.538999999972,1992.9686,0.968599999999924,356.11
1992,12,27,360.510499999965,1992.9877,0.987699999999904,356.4
1993,1,3,2.4820000000409,1993.0068,0.00680000000011205,357.05
1993,1,10,9.49000000002457,1993.026,0.0260000000000673,357.32
1993,1,17,16.4980000000082,1993.0452,0.0452000000000226,356.96
1993,1,24,23.5059999999919,1993.0644,0.0643999999999778,357.15
1993,1,31,30.5139999999756,1993.0836,0.0835999999999331,357.38
1993,2,7,37.4854999999684,1993.1027,0.102699999999913,357.09
1993,2,14,44.4935000000351,1993.1219,0.121900000000096,357.27
1993,2,21,51.5015000000187,1993.1411,0.141100000000051,357.9
1993,2,28,58.5095000000024,1993.1603,0.160300000000007,358.68
