year,sit,bhvr,id
2015,20150908901,BNF,121
2015,20150908904,TR,421
2015,20150910905,RE-TR,270
2015,20150911901,TR,252
2015,20150912906,BNF,233
2015,20150912906,BNF,80
2015,20150912908,TR,103
2015,20150914905,BNF,440
2015,20150914905,BNF,178
2015,20150915907,BNF,440
2015,20150915907,BNF,238
2015,20150915910,TR,62
2015,20150915911,TR,238
2015,20150915911,TR,440
2015,20150916907,TR,440
2015,20150917901,MI-SG,57
2015,20150918901,TR,180
2015,20150918902,TR,140
2015,20150919909,TR,440
2015,20150920901,TR,339
2015,20150920901,TR,234
2015,20150921901,MI-FE,114
2015,20150921901,MI-FE,68
2015,20150922902,TR,252
2015,20150923901,MI-FE,252
2015,20150923915,MI-FE,83
2015,20150923919,BNF,78
2015,20150923919,BNF,227
2015,20150923919,BNF,404
2015,20150924914,TR,452
2015,20150924915,TR,121
2015,20150924916,TR,404
2015,20150925904,ROBUST,178
2015,20150925907,TR,252
2015,20150925909,TR,227
2015,20150925910,KR-TR,233
2015,20150927905,TR,149
2015,20150927908,TR,177
2015,20150927908,TR,178
2015,20150928902,BNF,180
2015,20150928902,BNF,58
2015,20150928902,BNF,55
2015,20150928903,TR,37
2015,20150928904,BNF,167
2015,20150928904,BNF,180
2015,20150928904,BNF,143
2015,20150928904,BNF,103
2015,20150928904,BNF,340
2015,20150928904,BNF,58
2015,20150929910,BNF,180
2015,20150929910,BNF,103
2015,20150929910,BNF,233
2015,20151002907,TR,9
2015,20151002909,TR,62
2015,20151002914,MI-FE,256
2015,20151003910,TR,256
2015,20151003916,TR,389
2015,20151003916,TR,372
2015,20151003921,TR,140
2015,20151004904,TR,96
2015,20151004906,TR,440
2015,20151004906,TR,421
2015,20151004907,TR,196
2015,20151004907,TR,339
2015,20151004908,SG-TR,55
2015,20151004908,SG-TR,124
2015,20151005905,MI-FE,404
2015,20151005901,SG-MI-FE,440
2015,20151005901,SG-MI-FE,124
2015,20151005901,SG-MI-FE,340
2015,20151005901,SG-MI-FE,55
2015,20151005901,SG-MI-FE,421
2015,20151005901,SG-MI-FE,165
2015,20151005901,SG-MI-FE,252
2015,20151006911,SG-MI-FE,43
2015,20151006911,SG-MI-FE,55
2015,20151006911,SG-MI-FE,434
2015,20151006911,SG-MI-FE,440
2015,20151006912,SG-MI-FE,183
2015,20151006912,SG-MI-FE,452
2015,20151006912,SG-MI-FE,149
2015,20151007901,TR,55
2015,20151007903,TR,114
2015,20151007904,MI-FE,340
2015,20151007904,MI-FE,252
2015,20151008902,SG-MI-FE,372
2015,20151008902,SG-MI-FE,122
2015,20151008902,SG-MI-FE,447
2015,20151008902,SG-MI-FE,421
2015,20151008902,SG-MI-FE,270
2015,20151008902,SG-MI-FE,43
2015,20151008902,SG-MI-FE,119
2015,20151008902,SG-MI-FE,167
2015,20151008902,SG-MI-FE,339
2015,20151008902,SG-MI-FE,250
2015,20151008902,SG-MI-FE,168
2015,20151008902,SG-MI-FE,436
2015,20151008902,SG-MI-FE,388
2015,20151008902,SG-MI-FE,167
2015,20151008902,SG-MI-FE,238
2015,20151008902,SG-MI-FE,434
2015,20151008908,SG-MI-FE,337
2015,20151008908,SG-MI-FE,249
2015,20151009901,SG-MI-FE,114
2015,20151009901,SG-MI-FE,103
2015,20151009901,SG-MI-FE,114
2015,20151009901,SG-MI-FE,395
2015,20151009901,SG-MI-FE,79
2015,20151009901,SG-MI-FE,368
2015,20151009901,SG-MI-FE,140
2015,20151012902,BNF,434
2015,20151012902,BNF,167
2015,20151012902,BNF,389
2015,20151012902,BNF,180
2015,20151013901,RE-TR,149
2015,20151013901,RE-TR,62
2015,20151013902,BNF,180
2015,20151013902,BNF,434
2015,20151013903,TR,105
2015,20151013903,TR,105
2015,20151013903,TR,105
2015,20151013902,BNF,452
2015,20151014901,TR,404
2015,20151014902,LF,58
2015,20151015901,MI-FE,252
2015,20151015905,MI-FE,58
2015,20151017902,MI-FE,9
2015,20151017904,MI-FE,442
2015,20151017906,TR,252
2015,20151018901,BNF,122
2015,20151018901,BNF,252
2015,20151018901,BNF,252
2015,20151019901,BNF,11
2015,20151019901,BNF,42
2015,20151019905,BNF,58
2015,20151019905,BNF,372
2015,20151019905,BNF,31
2015,20151021901,BNF,119
2015,20151021901,BNF,178
2016,20160506903,TR,276
2016,20160509902,TR,138
2016,20160509905,TR,269
2016,20160514902,TR,270
2016,20160515903,TR,442
2016,20160516901,BNF,172
2016,20160517901,TR,395
2016,20160517903,TR,404
2016,20160517903,TR,43
2016,20160518903,MI-FE,270
2016,20160519901,RE,270
2016,20160519901,MI-FE,270
2016,20160520901,MI-FE,447
2016,20160520901,TR,447
2016,20160629902,ROBUST,252
2016,20160531902,MI-FE,269
2016,20160601901,TR,24
2016,20160601901,TR,9
2016,20160604901,BNF,103
2016,20160604901,BNF,93
2016,20160604901,BNF,133
2016,20160604901,BNF,42
2016,20160610901,TR,347
2016,20160613901,BNF,42
2016,20160613901,BNF,339
2016,20160613901,BNF,178
2016,20160613901,BNF,445
2016,20160613901,BNF,95
2016,20160617901,TR,261
2016,20160623902,TR,172
2016,20160625902,TR,442
2016,20160628901,MI-FE,447
2016,20160628901,MI-FE,441
2016,20160628902,MI-FE,261
2016,20160628903,MI-FE,62
2016,20160630903,TR,122
2016,20160630903,TR,103
2016,20160630904,TR,124
2016,20160630905,BNF,251
2016,20160630906,BNF,441
2016,20160701901,TR,45
2016,20160701902,MI-FE,251
2016,20160701902,MI-FE,441
2016,20160701903,MI-FE,140
2016,20160701904,MI-FE,355
2016,20160701905,MI-FE,103
2016,20160701905,MI-FE,337
2016,20160702901,TR,151
2016,20160702906,TR,389
2016,20160713902,MI-FE,80
2016,20160713902,MI-FE,388
2016,20160713903,MI-FE,447
2016,20160713903,MI-FE,368
2016,20160713903,MI-FE,441
2016,20160713904,MI-FE,114
2016,20160713904,MI-FE,389
2016,20160713904,MI-FE,460
2016,20160713904,MI-FE,410
2016,20160713904,MI-FE,337
2016,20160713904,MI-FE,233
2016,20160713905,MI-FE,189
2016,20160714904,MI-RE,77
2016,20160715902,MI-FE,114
2016,20160715902,MI-FE,337
2016,20160715902,MI-FE,441
2016,20160715902,MI-FE,129
2016,20160715902,MI-FE,28
2016,20160715902,MI-FE,385
2016,20160715903,MI-FE,189
2016,20160715903,MI-FE,227
2016,20160715903,MI-FE,388
2016,20160715903,MI-FE,441
