id,species,behavior,prey.volume,prey.depth,dive.time,surface.time,blow.interval,blow.number
20150805412,HW,FEED,6.722019019,138.54,533,226.5,18.328,13
20150805413,HW,OTHER,3.196090193,99.3,474,NaN,41,NaN
20150806403,HW,OTHER,-1,NA,NaN,NaN,NaN,NaN
20150806404,HW,FEED,8.182070464,118.03,340,144,16.625,10
20150806406,HW,FEED,8.233362466,118.25,356.5,143.056,16.356,10.333
20150807401,HW,OTHER,2.040154826,96.69,184,139.333,19.412,7.333
20150807403,HW,OTHER,5.640614392,135.89,123.5,87.834,31.866,3
20150807405,HW,OTHER,7.492845256,110.75,NaN,NaN,53.714,NaN
20150808407,HW,OTHER,2.756624469,99.81,307.5,71,27.25,2.5
20150809404,HW,FEED,4.888439788,44.49,NaN,NaN,NaN,NaN
20150809409,HW,FEED,7.829440872,91.42,233.625,126.375,20.091,6.25
20150809410,HW,OTHER,-1,NA,257.5,104.25,63.465,3.25
20150812401,HW,OTHER,5.279852434,82.09,313,168,18.333,10
20150812407,HW,OTHER,5.998837301,100.39,NaN,134,31.5,5
20150812409,HW,OTHER,4.747700467,117.19,146.5,139,23.209,6.5
20150812412,HW,OTHER,4.510766096,118.92,NaN,589,46.952,7
20150812416,HW,OTHER,4.478348802,121.42,NaN,NaN,37.737,NaN
20150813402,HW,FEED,NA,NA,194,NaN,NaN,NaN
20150813406,HW,OTHER,NA,NA,216,15,19.5,2
20150814403,HW,FEED,-1,NA,86,40.5,21.25,2
20150815405,HW,OTHER,6.77338319,116.56,280,83,13.333,7
20150815407,FW,FEED,5.753805846,86.51,400.5,106,20,6.667
20150815408,HW,FEED,5.706455233,149.19,NaN,178,17.4,11
20150815409,HW,OTHER,1.47345781,111.73,NaN,94,43.25,3
20150815418,FW,FEED,6.563368243,128.86,477,88,21.182,6
20150815419,HW,FEED,4.191047711,79.75,351.5,113.167,24.167,4.833
20150816403,HW,OTHER,-1,NA,NaN,NaN,53.584,NaN
20150816404,FW,OTHER,1.507980879,145.01,NaN,NaN,NaN,NaN
20150816405,HW,FEED,3.708191765,88.34,643,88,17.2,6
20150817412,HW,FEED,-1,NA,NaN,NaN,NaN,NaN
20150817414,HW,OTHER,6.24090703,103.58,NaN,126,17.143,8
